"parameter_name,new_value,bound_type"
"Si2C_diat,0.01,LOW"
"Si2C_diat,0.50,UPP"
"Calc2C_cocco_max,0.05,LOW"
"Calc2C_cocco_max,2.0,UPP"
"phyto_exudation_frac,0.020,LOW"
"phyto_exudation_frac,0.60,UPP"
"zoo_distrib_slope,0.40,LOW"
"zoo_distrib_slope,1.0,UPP"
"detection_radius_factor_mesozoo,1.0,LOW"
"detection_radius_factor_mesozoo,5.0,UPP"
"agg_to_zoo_size_ratio,0.20,LOW"
"agg_to_zoo_size_ratio,4.0,UPP"
"frac_OM_zoo_ingestion_surf,0.10,LOW"
"frac_OM_zoo_ingestion_surf,0.80,UPP"
"q10_microb,1.5,LOW"
"q10_microb,3.0,UPP"
"resp_rate_poc_max_0deg_microb,0.001,LOW"
"resp_rate_poc_max_0deg_microb,0.20,UPP"
"resp_rate_tepc_max_0deg_microb,0.001,LOW"
"resp_rate_tepc_max_0deg_microb,0.10,UPP"
"k_O2_resp,0.0005,LOW"
"k_O2_resp,1.0,UPP"
"solub_rate_poc,0.001,LOW"
"solub_rate_poc,0.10,UPP"
"solub_rate_tepc,0.001,LOW"
"solub_rate_tepc,0.10,UPP"
"photodegradation_rate_tepc,0.10,LOW"
"photodegradation_rate_tepc,0.70,UPP"
"dissol_rate_calc_zoo_gut,1.0,LOW"
"dissol_rate_calc_zoo_gut,30.0,UPP"
"dissol_rate_opal_0deg,0.0005,LOW"
"dissol_rate_opal_0deg,0.50,UPP"
"q10_bSi,1.5,LOW"
"q10_bSi,3.5,UPP"
